region,gcam_basin_name,Rmap_v53
EU-15,ArcticIsl,Arctic Ocean Islands
Canada,NWTerr,Northwest Territories
Russia,SiberiaN,Siberia-North Coast
Russia,SiberiaW,Siberia-West Coast
Russia,KaraSea,Kara Sea Coast
Russia,LenaR,Lena
USA,PacArctic,Pacific and Arctic Coast
European Free Trade Association,ScndnvN,Scandinavia-North Coast
Russia,BarentsSea,Russia-Barents Sea Coast
Canada,Mackenzie,Mackenzie
European Free Trade Association,Iceland,Iceland
EU-15,Sweden,Sweden
EU-15,Finland,Finland
Russia,DvinaRN,Northern Dvina
Canada,HudsonBay,Hudson Bay Coast
EU-15,Scotland,Scotland
Russia,NevaR,Neva
Russia,VolgaR,Volga
Canada,CanAtl,Atlantic Ocean Seaboard
EU-12,BalticSea,Baltic Sea Coast
EU-15,DnkGrmCst,Denmark-Germany Coast
Russia,NarvaR,Narva
Canada,NelsonR,Saskatchewan-Nelson
EU-15,Ireland,Ireland
Europe_Eastern,DaugavaR,Daugava
EU-15,EngWales,England and Wales
Canada,FraserR,Fraser
EU-15,EmsWeserR,Ems-Weser
EU-12,OderR,Oder
EU-12,WislaR,Wisla
EU-15,ElbeR,Elbe
EU-15,RhineR,Rhine
EU-12,PolandCst,Poland Coast
Canada,ChurchillR,Churchill
EU-12,NemanR,Neman
EU-15,ScheldtR,Scheldt
Russia,RusCstSE,Russia-South East Coast
Russia,UralR,Ural
Europe_Eastern,DnieperR,Dnieper
Canada,StLwrncR,St Lawrence
EU-15,FranceCstW,France-West Coast
China,Gobi,Gobi Interior
Russia,AmurR,Amur
EU-15,LoireR,Loire
Central Asia,CaspianNE,Caspian Sea Coast
EU-15,SeineR,Seine
Europe_Eastern,BlackSeaN,Black Sea-North Coast
Russia,YeniseiR,Yenisey
Europe_Eastern,DniesterR,Dniester
EU-15,ItalyCstE,Italy-East Coast
Japan,Japan,Japan
Central Asia,CaspianE,Caspian Sea-East Coast
Russia,DonR,Don
EU-12,DanubeR,Danube
EU-15,AdrBlkSea,Adriatic Sea-Greece-Black Sea Coast
Russia,ObR,Ob
EU-15,PoR,Po
Central Asia,AmuDaryaR,Amu Darya
EU-15,ItalyCstW,Italy-West Coast
EU-15,IberiaCst,Spain-Portugal-Atlantic Coast
EU-15,FranceCstS,France-South Coast
EU-15,RhoneR,Rhone
Europe_Non_EU,MeditIsl,Mediterranean Sea-East Coast
EU-15,Gironde,Gironde
South Korea,Korea,North and South Korea
China,BoHai,Bo Hai-Korean Bay-North Coast
EU-15,SpainCstSE,Spain-South and East Coast
Central Asia,LBalkash,Lake Balkash
EU-15,TiberR,Tiber
